Station_name Instrument Component P_phase_onset P_phase_descriptor First_Motion Date Hour_min Seconds GAU Err Coda_duration Amplitude Period
ED16 ? ? ? S ? 20161014 0002 44.780 GAU 2.00E-02 -1.00E+00 -1.00E+00 -1.00E+00
MMO1 ? ? ? S ? 20161014 0002 46.530 GAU 2.00E-02 -1.00E+00 -1.00E+00 -1.00E+00
ED09 ? ? ? S ? 20161014 0002 43.970 GAU 2.00E-02 -1.00E+00 -1.00E+00 -1.00E+00
T1204 ? ? ? P ? 20161014 0002 39.310 GAU 2.00E-02 -1.00E+00 -1.00E+00 -1.00E+00
ED20 ? ? ? S ? 20161014 0002 42.990 GAU 2.00E-02 -1.00E+00 -1.00E+00 -1.00E+00
T1243 ? ? ? P ? 20161014 0002 40.380 GAU 2.00E-02 -1.00E+00 -1.00E+00 -1.00E+00
T1243 ? ? ? S ? 20161014 0002 42.730 GAU 2.00E-02 -1.00E+00 -1.00E+00 -1.00E+00
TERO ? ? ? S ? 20161014 0002 45.890 GAU 2.00E-02 -1.00E+00 -1.00E+00 -1.00E+00
TERO ? ? ? P ? 20161014 0002 42.120 GAU 2.00E-02 -1.00E+00 -1.00E+00 -1.00E+00
ED07 ? ? ? S ? 20161014 0002 43.190 GAU 2.00E-02 -1.00E+00 -1.00E+00 -1.00E+00
ED07 ? ? ? P ? 20161014 0002 40.620 GAU 2.00E-02 -1.00E+00 -1.00E+00 -1.00E+00
T1246 ? ? ? P ? 20161014 0002 41.150 GAU 2.00E-02 -1.00E+00 -1.00E+00 -1.00E+00
T1246 ? ? ? S ? 20161014 0002 43.780 GAU 2.00E-02 -1.00E+00 -1.00E+00 -1.00E+00
ED15 ? ? ? S ? 20161014 0002 46.610 GAU 2.00E-02 -1.00E+00 -1.00E+00 -1.00E+00
SMA1 ? ? ? P ? 20161014 0002 39.450 GAU 2.00E-02 -1.00E+00 -1.00E+00 -1.00E+00
GIGS ? ? ? S ? 20161014 0002 47.850 GAU 2.00E-02 -1.00E+00 -1.00E+00 -1.00E+00
ED25 ? ? ? P ? 20161014 0002 39.860 GAU 2.00E-02 -1.00E+00 -1.00E+00 -1.00E+00
ED25 ? ? ? S ? 20161014 0002 41.890 GAU 2.00E-02 -1.00E+00 -1.00E+00 -1.00E+00
CAMP ? ? ? S ? 20161014 0002 43.570 GAU 2.00E-02 -1.00E+00 -1.00E+00 -1.00E+00
ED14 ? ? ? S ? 20161014 0002 46.400 GAU 2.00E-02 -1.00E+00 -1.00E+00 -1.00E+00
ED05 ? ? ? S ? 20161014 0002 44.960 GAU 2.00E-02 -1.00E+00 -1.00E+00 -1.00E+00
ED04 ? ? ? S ? 20161014 0002 42.080 GAU 2.00E-02 -1.00E+00 -1.00E+00 -1.00E+00

Station_name Instrument Component P_phase_onset P_phase_descriptor First_Motion Date Hour_min Seconds GAU Err Coda_duration Amplitude Period
ED02 ? ? ? S ? 20161014 0003 29.400 GAU 2.00E-02 -1.00E+00 -1.00E+00 -1.00E+00
ED11 ? ? ? S ? 20161014 0003 25.710 GAU 2.00E-02 -1.00E+00 -1.00E+00 -1.00E+00
ED10 ? ? ? S ? 20161014 0003 22.100 GAU 2.00E-02 -1.00E+00 -1.00E+00 -1.00E+00
ED10 ? ? ? P ? 20161014 0003 21.000 GAU 2.00E-02 -1.00E+00 -1.00E+00 -1.00E+00
T1212 ? ? ? P ? 20161014 0003 21.940 GAU 2.00E-02 -1.00E+00 -1.00E+00 -1.00E+00
T1212 ? ? ? S ? 20161014 0003 23.900 GAU 2.00E-02 -1.00E+00 -1.00E+00 -1.00E+00
T1217 ? ? ? S ? 20161014 0003 27.380 GAU 2.00E-02 -1.00E+00 -1.00E+00 -1.00E+00
T1215 ? ? ? P ? 20161014 0003 23.720 GAU 2.00E-02 -1.00E+00 -1.00E+00 -1.00E+00
NRCA ? ? ? S ? 20161014 0003 21.970 GAU 2.00E-02 -1.00E+00 -1.00E+00 -1.00E+00
ED19 ? ? ? S ? 20161014 0003 24.150 GAU 2.00E-02 -1.00E+00 -1.00E+00 -1.00E+00
ED18 ? ? ? S ? 20161014 0003 26.910 GAU 2.00E-02 -1.00E+00 -1.00E+00 -1.00E+00
ED21 ? ? ? S ? 20161014 0003 28.140 GAU 2.00E-02 -1.00E+00 -1.00E+00 -1.00E+00
ED17 ? ? ? S ? 20161014 0003 26.580 GAU 2.00E-02 -1.00E+00 -1.00E+00 -1.00E+00
ED17 ? ? ? P ? 20161014 0003 23.420 GAU 2.00E-02 -1.00E+00 -1.00E+00 -1.00E+00
MMO1 ? ? ? S ? 20161014 0003 25.570 GAU 2.00E-02 -1.00E+00 -1.00E+00 -1.00E+00
ED16 ? ? ? S ? 20161014 0003 24.610 GAU 2.00E-02 -1.00E+00 -1.00E+00 -1.00E+00
ED09 ? ? ? P ? 20161014 0003 23.530 GAU 2.00E-02 -1.00E+00 -1.00E+00 -1.00E+00
ED20 ? ? ? S ? 20161014 0003 27.490 GAU 2.00E-02 -1.00E+00 -1.00E+00 -1.00E+00
T1214 ? ? ? S ? 20161014 0003 23.050 GAU 2.00E-02 -1.00E+00 -1.00E+00 -1.00E+00

Station_name Instrument Component P_phase_onset P_phase_descriptor First_Motion Date Hour_min Seconds GAU Err Coda_duration Amplitude Period
T1214 ? ? ? S ? 20161014 0003 45.540 GAU 2.00E-02 -1.00E+00 -1.00E+00 -1.00E+00
T1217 ? ? ? S ? 20161014 0003 51.480 GAU 2.00E-02 -1.00E+00 -1.00E+00 -1.00E+00
T1212 ? ? ? P ? 20161014 0003 45.630 GAU 2.00E-02 -1.00E+00 -1.00E+00 -1.00E+00
T1212 ? ? ? S ? 20161014 0003 48.130 GAU 2.00E-02 -1.00E+00 -1.00E+00 -1.00E+00
ED10 ? ? ? P ? 20161014 0003 44.290 GAU 2.00E-02 -1.00E+00 -1.00E+00 -1.00E+00
ED10 ? ? ? S ? 20161014 0003 45.540 GAU 2.00E-02 -1.00E+00 -1.00E+00 -1.00E+00
NRCA ? ? ? P ? 20161014 0003 44.420 GAU 2.00E-02 -1.00E+00 -1.00E+00 -1.00E+00
NRCA ? ? ? S ? 20161014 0003 45.890 GAU 2.00E-02 -1.00E+00 -1.00E+00 -1.00E+00
ED19 ? ? ? S ? 20161014 0003 47.510 GAU 2.00E-02 -1.00E+00 -1.00E+00 -1.00E+00
T1245 ? ? ? S ? 20161014 0003 45.280 GAU 2.00E-02 -1.00E+00 -1.00E+00 -1.00E+00
T1245 ? ? ? P ? 20161014 0003 44.110 GAU 2.00E-02 -1.00E+00 -1.00E+00 -1.00E+00
FDMO ? ? ? S ? 20161014 0003 51.650 GAU 2.00E-02 -1.00E+00 -1.00E+00 -1.00E+00
ED17 ? ? ? S ? 20161014 0003 49.230 GAU 2.00E-02 -1.00E+00 -1.00E+00 -1.00E+00
MMO1 ? ? ? S ? 20161014 0003 47.490 GAU 2.00E-02 -1.00E+00 -1.00E+00 -1.00E+00
ED16 ? ? ? S ? 20161014 0003 46.240 GAU 2.00E-02 -1.00E+00 -1.00E+00 -1.00E+00
ED09 ? ? ? P ? 20161014 0003 45.780 GAU 2.00E-02 -1.00E+00 -1.00E+00 -1.00E+00
ED20 ? ? ? P ? 20161014 0003 46.090 GAU 2.00E-02 -1.00E+00 -1.00E+00 -1.00E+00

Station_name Instrument Component P_phase_onset P_phase_descriptor First_Motion Date Hour_min Seconds GAU Err Coda_duration Amplitude Period
RM33 ? ? ? S ? 20161014 0004 29.360 GAU 2.00E-02 -1.00E+00 -1.00E+00 -1.00E+00
ED08 ? ? ? S ? 20161014 0004 33.900 GAU 2.00E-02 -1.00E+00 -1.00E+00 -1.00E+00
ED01 ? ? ? S ? 20161014 0004 32.130 GAU 2.00E-02 -1.00E+00 -1.00E+00 -1.00E+00
ED01 ? ? ? P ? 20161014 0004 29.280 GAU 2.00E-02 -1.00E+00 -1.00E+00 -1.00E+00
T1211 ? ? ? S ? 20161014 0004 36.940 GAU 2.00E-02 -1.00E+00 -1.00E+00 -1.00E+00
ED02 ? ? ? S ? 20161014 0004 35.240 GAU 2.00E-02 -1.00E+00 -1.00E+00 -1.00E+00
T1217 ? ? ? S ? 20161014 0004 36.210 GAU 2.00E-02 -1.00E+00 -1.00E+00 -1.00E+00
ED03 ? ? ? S ? 20161014 0004 30.240 GAU 2.00E-02 -1.00E+00 -1.00E+00 -1.00E+00
ED03 ? ? ? P ? 20161014 0004 28.250 GAU 2.00E-02 -1.00E+00 -1.00E+00 -1.00E+00
ED11 ? ? ? S ? 20161014 0004 33.940 GAU 2.00E-02 -1.00E+00 -1.00E+00 -1.00E+00
T1218 ? ? ? S ? 20161014 0004 31.650 GAU 2.00E-02 -1.00E+00 -1.00E+00 -1.00E+00
ED12 ? ? ? S ? 20161014 0004 37.180 GAU 2.00E-02 -1.00E+00 -1.00E+00 -1.00E+00
T1212 ? ? ? P ? 20161014 0004 31.130 GAU 2.00E-02 -1.00E+00 -1.00E+00 -1.00E+00
T1212 ? ? ? S ? 20161014 0004 34.700 GAU 2.00E-02 -1.00E+00 -1.00E+00 -1.00E+00
ED24 ? ? ? P ? 20161014 0004 28.660 GAU 2.00E-02 -1.00E+00 -1.00E+00 -1.00E+00
ED24 ? ? ? S ? 20161014 0004 30.890 GAU 2.00E-02 -1.00E+00 -1.00E+00 -1.00E+00
ED10 ? ? ? S ? 20161014 0004 34.020 GAU 2.00E-02 -1.00E+00 -1.00E+00 -1.00E+00
NRCA ? ? ? S ? 20161014 0004 35.970 GAU 2.00E-02 -1.00E+00 -1.00E+00 -1.00E+00
T1202 ? ? ? P ? 20161014 0004 29.260 GAU 2.00E-02 -1.00E+00 -1.00E+00 -1.00E+00
T1202 ? ? ? S ? 20161014 0004 32.160 GAU 2.00E-02 -1.00E+00 -1.00E+00 -1.00E+00
T1201 ? ? ? P ? 20161014 0004 28.520 GAU 2.00E-02 -1.00E+00 -1.00E+00 -1.00E+00
