# 2016 10 14 00 00  9.050 42.8128  13.2100   8.500  0.92 0 0 0      1
 FDMO   3.488 1 P
 FDMO   6.118 1 S
 ED19   1.578 1 P
 ED19   3.248 1 S
 ED21   8.038 1 S
 ED18   7.058 1 S
 ED17   3.818 1 P
 ED17   7.128 1 S
 MMO1   3.688 1 P
 MMO1   6.878 1 S
 NRCA   0.758 1 P
 NRCA   2.138 1 S
# 2016 10 14 00 25 29.070 42.8355  13.1552   6.668  0.62 0 0 0     24
 ED10   1.650 1 P
 ED10   3.170 1 S
 ED11   3.310 1 P
 ED11   6.770 1 S
 ED02   5.220 1 P
T1212   4.780 1 S
T1212   2.510 1 P
 ED12   2.800 1 P
 ED12   5.260 1 S
T1215   7.810 1 S
 NRCA   1.390 1 P
 NRCA   1.670 1 S
T1216   4.370 1 S
 CESI   8.960 1 S
 FDMO   4.000 1 P
 ED19   2.200 1 P
 ED19   3.880 1 S
 CSP1   4.930 1 P
 CSP1   9.470 1 S
  MC2   4.250 1 S
 ED18   3.420 1 P
 ED18   6.500 1 S
 ED21   4.100 1 P
 ED21   7.750 1 S
 ED22   7.810 1 S
T1245   1.540 1 P
T1245   2.010 1 S
 ED17   6.380 1 S
 ED17   3.370 1 P
 MMO1   5.460 1 S
 ED16   4.890 1 S
 ED20   7.780 1 S
 TERO  13.340 1 S
 ED07  10.590 1 S
T1246  11.900 1 S
 ED25   5.110 1 P
 ED25  10.720 1 S
T1299   4.320 1 P
 ED05  13.500 1 S
T1214   4.070 1 S
T1214   2.090 1 P
T1201   3.940 1 P
T1202   5.860 1 S
T1202   2.960 1 P
 ED24   3.460 1 P
 ED03   4.440 1 P
# 2016 10 14 00 25 56.863 42.8693  13.0825   2.724  0.46 0 0 0     25
 ED11   6.867 1 S
T1212   4.717 1 S
T1212   2.487 1 P
T1217   7.337 1 S
 ED12   3.907 1 S
T1215   6.377 1 S
T1216   2.107 1 S
T1216   1.307 1 P
 CESI   7.097 1 S
 FDMO   3.377 1 P
 FDMO   6.627 1 S
 ED19   1.567 1 P
 ED19   2.307 1 S
 ED21   7.797 1 S
 ED18   6.337 1 S
 ED22   8.617 1 S
 ED17   7.147 1 S
 ED17   3.777 1 P
 MMO1   6.837 1 S
 MMO1   3.657 1 P
T1245   3.487 1 S
T1214   4.817 1 S
 ED10   4.107 1 S
 ED24   8.317 1 S
 NRCA   0.997 1 P
 ED03  10.737 1 S
T1218   7.507 1 S
# 2016 10 14 00 28 25.362 42.7474  13.1845   3.409  0.83 0 0 0     26
 ED01   4.388 1 P
 ED01   8.778 1 S
T1218   1.938 1 P
T1218   3.988 1 S
T1211  11.478 1 S
 ED02   4.498 1 P
 ED02   8.558 1 S
 ED11   2.528 1 P
T1217   7.228 1 S
T1212   2.038 1 P
T1212   4.248 1 S
T1215   4.568 1 P
T1215   8.578 1 S
 ED12   3.278 1 P
 ED12   5.968 1 S
 ED10   1.078 1 P
T1216   6.508 1 S
T1216   3.718 1 P
 CESI  11.429 1 S
 NRCA   2.019 1 P
 FDMO   5.718 1 P
 ED19   3.548 1 P
 ED19   6.808 1 S
  MC2   6.919 1 S
T1245   2.299 1 P
 CSP1  12.508 1 S
 ED18   4.718 1 P
 ED18   9.318 1 S
 ED21  10.448 1 S
 GUMA  12.899 1 S
 ED22  10.558 1 S
 ED17   4.418 1 P
 ED17   8.678 1 S
 MMO1   3.538 1 P
 MMO1   6.878 1 S
 ED16   2.648 1 P
 ED16   5.168 1 S
T1214   0.578 1 P
T1214   0.778 1 S
 ED09   3.408 1 P
 ED09   6.798 1 S
 ED20   3.408 1 P
 ED20   6.598 1 S
 TERO   5.948 1 P
 TERO  11.378 1 S
 ED07   4.468 1 P
 ED07   8.518 1 S
T1204   4.948 1 S
T1204   2.538 1 P
T1246   5.148 1 P
T1246   9.828 1 S
 ED15   6.998 1 P
 ED15  13.018 1 S
 SMA1   3.368 1 P
 ED25   4.008 1 P
 ED25   7.718 1 S
T1202   1.278 1 P
 CAMP   9.368 1 S
T1299   2.868 1 P
 ED14   6.608 1 P
 ED14  12.648 1 S
T1201   4.588 1 S
T1201   2.338 1 P
 ED05   5.678 1 P
 ED05  10.698 1 S
 ED24   1.768 1 P
 ED03   2.878 1 P
# 2016 10 14 00 29 29.647 42.8954  13.2405   4.107  0.37 0 0 0     27
T1214   5.573 1 S
 ED10   2.713 1 P
 ED10   5.153 1 S
T1245   1.213 1 P
T1212   7.673 1 S
 NRCA   4.623 1 S
 ED12   7.953 1 S
 ED19   1.613 1 P
  MC2   1.063 1 P
  MC2   2.013 1 S
 CESI   9.853 1 S
 FDMO   6.663 1 S
 ED18   4.093 1 S
 ED21   5.153 1 S
 ED22   5.073 1 S
 ED17   1.723 1 P
 ED17   3.363 1 S
 MMO1   2.663 1 S
 MMO1   1.333 1 P
 ED20   7.373 1 S
 ED16   3.363 1 S
# 2016 10 14 00 32 46.168 42.7391  13.1874   5.500  0.49 0 0 0     28
T1218   3.662 1 S
 ED02   4.462 1 P
 ED02   8.602 1 S
 ED11   2.512 1 P
 ED11   4.862 1 S
T1212   4.142 1 S
T1212   2.232 1 P
T1215   8.952 1 S
 ED12   3.432 1 P
 ED12   6.552 1 S
 ED10   1.242 1 P
 NRCA   4.182 1 S
 ED17   4.772 1 P
 ED17   9.092 1 S
T1214   0.952 1 P
